Date,Sensex,Bonds,Nifty 50,Gold,USD_INR
01-03-2024,-0.015628363,0.003686897,-0.015411902,-0.077410085,-0.00539892
01-02-2024,-0.010319819,0.009324668,-0.011695507,0.00131406,0.002352232
01-01-2024,0.006803284,0.004479283,0.000262362,0.006999125,0.00114327
01-12-2023,-0.072699351,0.0143534,-0.073545653,-0.016266049,0.002007453
01-11-2023,-0.046478318,0.009891469,-0.052329119,-0.021490604,-0.001211656
01-10-2023,0.030582891,-0.019181064,0.029282585,-0.054605626,-0.002714519
01-09-2023,-0.015145436,-0.006102635,-0.019579088,0.04269651,-0.003950379
01-08-2023,0.026164169,0.000837287,0.0259689,0.022025535,-0.005586322
01-07-2023,-0.027193347,-0.00864473,-0.028589436,-0.0397173,-0.00181177
01-06-2023,-0.032391326,-0.017018284,-0.034115811,0.027314191,0.007174964
01-05-2023,-0.024109645,0.018171412,-0.025325881,0.018263458,-0.01161103
01-04-2023,-0.034705209,0.027965149,-0.039039579,-0.007035624,0.005384239
01-03-2023,-0.000498377,0.019412167,-0.003214332,-0.075295644,0.005842259
01-02-2023,0.009968773,-0.015287649,0.020700476,0.058817181,-0.010902711
01-01-2023,0.021676611,-0.002178946,0.025090377,-0.061155845,0.011964913
01-12-2022,0.037128247,-0.006414631,0.036069549,-0.036423841,-0.016417423
01-11-2022,-0.037291174,0.022664835,-0.039776953,-0.067714495,0.017342888
01-10-2022,-0.054647841,-0.006312962,-0.050957129,0.018127984,-0.015234989
01-09-2022,0.036744962,-0.02838605,0.038898817,0.02451184,-0.024758002
01-08-2022,-0.033035217,0.01836394,-0.033844239,0.032209477,-0.001949906
01-07-2022,-0.079056631,0.017759563,-0.080311221,0.014311371,-0.004865383
01-06-2022,0.048048301,-0.004697987,0.050968774,0.022741106,-0.017492084
01-05-2022,0.026895025,-0.037221848,0.031233889,0.034245834,-0.013523444
01-04-2022,0.026421609,-0.04146239,0.021178128,0.022126903,-0.008089388
01-03-2022,-0.039632731,-0.010667836,-0.038411658,-0.02727738,-0.005375423
